multiple_deliveries,Road_traffic_density,Delivery_person_Ratings,Delivery_person_Age,Vehicle_condition,actual,predicted,error,abs_error_MAE,sq_error_MSE
0.3333333333333333,0.0,0.9600000000000002,0.3157894736842104,0.0,18,22.5515,4.5515,4.5515,20.7164
0.3333333333333333,0.6666666666666667,0.8,0.1578947368421053,0.5,22,27.5932,5.5932,5.5932,31.284
1.0,1.0,0.8,0.894736842105263,0.5,44,43.9823,-0.0177,0.0177,0.0003
0.0,1.0,0.9600000000000002,0.368421052631579,1.0,10,22.2138,12.2138,12.2138,149.1777
0.0,1.0,0.8800000000000001,0.0,1.0,26,21.0602,-4.9398,4.9398,24.4013
0.3333333333333333,0.0,0.7600000000000002,0.3157894736842104,0.0,27,26.5128,-0.4872,0.4872,0.2374
0.3333333333333333,1.0,0.8,0.3157894736842104,0.0,25,33.9087,8.9087,8.9087,79.3652
0.3333333333333333,1.0,0.9600000000000002,0.368421052631579,0.0,29,31.1308,2.1308,2.1308,4.5405
0.3333333333333333,0.0,0.9600000000000002,0.5263157894736843,0.5,26,21.7035,-4.2965,4.2965,18.4597
0.3333333333333333,0.0,0.8399999999999999,0.7894736842105263,0.0,25,28.4487,3.4487,3.4487,11.8937
0.0,0.0,0.6800000000000002,0.4210526315789473,0.0,25,24.7879,-0.2121,0.2121,0.045
0.6666666666666666,0.3333333333333333,0.6000000000000001,0.631578947368421,0.0,47,38.8499,-8.1501,8.1501,66.4238
0.3333333333333333,0.0,0.6800000000000002,0.1052631578947369,0.0,17,26.5327,9.5327,9.5327,90.8721
0.3333333333333333,0.0,0.8,0.9999999999999998,0.5,24,28.393,4.393,4.393,19.2983
0.3333333333333333,0.3333333333333333,0.6000000000000001,0.5263157894736843,0.5,31,31.5632,0.5632,0.5632,0.3172
0.3333333333333333,0.6666666666666667,1.0,0.9999999999999998,1.0,33,27.4778,-5.5222,5.5222,30.4943
0.0,0.0,0.7600000000000002,0.8421052631578947,0.0,29,26.3327,-2.6673,2.6673,7.1147
0.0,0.3333333333333333,0.8399999999999999,0.0,1.0,26,16.3937,-9.6063,9.6063,92.2808
0.0,1.0,0.4400000000000001,0.631578947368421,1.0,34,34.469,0.469,0.469,0.2199
0.0,1.0,0.9600000000000002,0.7894736842105263,0.0,31,30.1684,-0.8316,0.8316,0.6916
0.3333333333333333,0.0,0.8800000000000001,0.4210526315789473,0.0,16,24.9184,8.9184,8.9184,79.5371
0.0,0.0,0.8399999999999999,0.1052631578947369,0.0,17,19.2719,2.2719,2.2719,5.1616
0.3333333333333333,0.0,0.8800000000000001,0.0526315789473683,0.5,22,19.7676,-2.2324,2.2324,4.9836
0.0,0.3333333333333333,0.8800000000000001,0.9999999999999998,0.0,34,27.8588,-6.1412,6.1412,37.7148
0.0,0.3333333333333333,0.8399999999999999,0.368421052631579,0.5,24,21.5445,-2.4555,2.4555,6.0296
0.3333333333333333,1.0,0.8399999999999999,0.0526315789473683,1.0,15,26.3354,11.3354,11.3354,128.491
0.3333333333333333,0.0,0.8399999999999999,0.4736842105263157,0.5,16,23.6891,7.6891,7.6891,59.1228
0.0,0.3333333333333333,0.92,0.2105263157894736,1.0,15,16.3738,1.3738,1.3738,1.8874
0.3333333333333333,0.3333333333333333,0.8800000000000001,0.0,1.0,28,19.6932,-8.3068,8.3068,69.003
0.3333333333333333,1.0,0.4400000000000001,0.1052631578947369,0.0,40,39.4744,-0.5256,0.5256,0.2763
0.6666666666666666,1.0,0.92,0.9473684210526316,0.0,39,40.3176,1.3176,1.3176,1.7361
0.3333333333333333,0.0,0.92,0.9473684210526316,0.5,24,25.6251,1.6251,1.6251,2.6408
0.3333333333333333,1.0,0.6800000000000002,0.1052631578947369,0.5,43,32.3082,-10.6918,10.6918,114.3144
0.3333333333333333,1.0,0.6800000000000002,0.6842105263157894,0.0,31,39.0236,8.0236,8.0236,64.3782
0.0,0.0,0.92,0.0526315789473683,1.0,14,12.471,-1.529,1.529,2.3379
0.3333333333333333,0.3333333333333333,0.92,0.2105263157894736,0.0,18,25.2909,7.2909,7.2909,53.1565
